id,title,Rating,maincateg,platform,price1,actprice1,Offer %,norating1,noreviews1,star_5f,star_4f,star_3f,star_2f,star_1f,fulfilled1,Discount_Amount,cumulative_ratings
20734,Party Wear For Men  (Tan),3.7,Men,Flipkart,499,799,37.55,19.0,1.0,9.0,3.0,2.0,2,3,0,300,186.89999999999995
8442,"Women Girl's Fashion Printed Comfortable Soft Slip On Winter Bellies For Women  (Black, Blue)",4.2,Women,Flipkart,246,559,55.99,290.0,48.0,157.0,69.0,35.0,14,15,1,313,191.09999999999994
4051,Shoes for Women Sneakers For Women  (Blue),4.0,Women,Flipkart,347,499,30.46,4147.0,688.0,2175.0,864.0,538.0,204,366,1,152,195.09999999999994
10684,Canvas Shoes For Men  (Blue),4.0,Men,Flipkart,302,1799,83.21,60.0,11.0,29.0,13.0,9.0,6,3,0,1497,199.09999999999994
6840,Jutis Bellies For Women  (Brown),3.4,Women,Flipkart,315,999,68.47,26.0,4.0,9.0,7.0,1.0,3,6,0,684,202.49999999999994
6412,Flip Flops,4.0,Women,Flipkart,220,499,55.91,656.0,80.0,368.0,105.0,75.0,40,68,0,279,206.49999999999994
3239,DD66_4 Jutis For Women  (White),4.5,Women,Flipkart,1499,2500,40.04,13.0,1.0,11.0,0.0,1.0,0,1,0,1001,210.99999999999994
16567,Slippers,4.3,Women,Flipkart,499,999,50.05,96.0,15.0,61.0,20.0,8.0,4,3,1,500,215.29999999999995
12960,"Men Tan, Beige, Yellow Sandal",4.2,Men,Flipkart,389,999,61.06,19.0,2.0,12.0,2.0,3.0,0,2,0,610,219.49999999999994
5687,169 Smart Sky Blue Lace-Ups Casuals for Men Sneakers For Men  (Blue),4.0,Men,Flipkart,236,499,52.71,26934.0,2952.0,14756.0,4291.0,3068.0,1693,3126,1,263,223.49999999999994
6792,Bellies For Women  (Tan),4.0,Women,Flipkart,295,599,50.75,85.0,10.0,46.0,19.0,7.0,3,10,1,304,227.49999999999994
10908,Jungle Boots- Oil Stain & Water Resistant- Extra Cushion InnerSole -Light Weight Trekking Shoes Boots For Men (OliveGreen) Boots For Men  (Multicolor),4.3,Men,Flipkart,999,1399,28.59,4881.0,943.0,2862.0,1159.0,445.0,169,246,1,400,231.79999999999995
16556,Flip Flops,3.4,Women,Flipkart,330,499,33.87,307.0,33.0,117.0,50.0,38.0,32,70,0,169,235.19999999999996
14352,SYTHETIC Leather Punjabi Jutti Black Mojaris For Men  (Black),3.9,Men,Flipkart,399,999,60.06,19.0,1.0,10.0,4.0,1.0,1,3,0,600,239.09999999999997
13313,RC3532 003 Lace Up For Men  (Brown),4.1,Men,Flipkart,1935,4299,54.99,219.0,27.0,112.0,61.0,16.0,14,16,1,2364,243.19999999999996
5343,Kolhapuri Juttis Slip On For Men  (Tan),4.1,Men,Flipkart,999,1999,50.03,199.0,28.0,105.0,52.0,18.0,9,15,1,1000,247.29999999999995
20758,Flip Flops,4.1,Men,Flipkart,249,890,72.02,27.0,3.0,14.0,7.0,2.0,4,0,0,641,251.39999999999995
7068,Slippers,3.6,Men,Flipkart,599,1299,53.89,85.0,10.0,41.0,13.0,6.0,7,18,0,700,254.99999999999994
6597,Slides,3.9,Men,Flipkart,300,1500,80.0,306.0,44.0,150.0,60.0,10.0,5,9,1,1200,258.8999999999999
15941,Men's Formal Leather Shoes Slip On For Men  (White),4.1,Men,Flipkart,999,1999,50.03,14.0,1.0,8.0,2.0,2.0,1,1,1,1000,262.99999999999994
6824,Men Black Casual Sandal,3.9,Men,Flipkart,299,499,40.08,192.0,37.0,103.0,31.0,23.0,14,21,0,200,266.8999999999999
1317,Women Red Heels Sandal,4.1,Women,Flipkart,546,999,45.35,654.0,104.0,369.0,125.0,69.0,32,59,0,453,270.99999999999994
770,"Sneakers For Men  (Yellow, White)",4.1,Men,Flipkart,603,1014,42.89,214.0,41.0,150.0,48.0,30.0,17,3,1,411,275.09999999999997
3487,GO WALK 5 Walking Shoes For Women  (Navy),4.7,Women,Flipkart,4239,5299,20.0,12.0,1.0,9.0,2.0,1.0,0,0,1,1060,283.9
10577,Stylish Combo Pack of 2 Shoes Sneakers For Women  (Multicolor),3.8,Women,Flipkart,630,998,36.87,66.0,13.0,33.0,9.0,11.0,4,9,1,368,287.7
18413,Mojaris Jutis For Men  (Brown),4.3,Men,Flipkart,399,499,20.04,12.0,2.0,8.0,2.0,1.0,0,1,0,100,292.0
4211,"Women's/Ladies/Female/Girls Trendy Fashionable Lightweight Comfortable Partywear, Casual wear Lace-Up Shoes Sneakers For Women  (White)",4.3,Women,Flipkart,380,999,61.96,350.0,30.0,213.0,71.0,33.0,13,20,1,619,296.3
2631,Men Brown Casual Sandal,4.3,Men,Flipkart,799,1999,60.03,55.0,11.0,30.0,17.0,6.0,1,1,1,1200,300.6
17504,Ankle Length & High Ankle Length Boots For Women  (Tan),3.6,Women,Flipkart,429,999,57.06,91.0,14.0,38.0,20.0,9.0,13,14,0,570,304.20000000000005
12827,Men Orange Sandal,4.0,Men,Flipkart,398,999,60.16,14825.0,1945.0,7950.0,2968.0,1848.0,755,1304,0,601,308.20000000000005
5607,Slides,3.6,Women,Flipkart,259,349,25.79,211.0,32.0,84.0,47.0,28.0,17,35,0,90,311.80000000000007
1106,Women Beige Flats Sandal,4.0,Women,Flipkart,316,999,68.37,289.0,42.0,150.0,63.0,29.0,18,29,1,683,315.80000000000007
10686,Trenzo II IDP Running Shoes For Women  (Grey),4.1,Women,Flipkart,1709,2999,43.01,10146.0,1398.0,5463.0,2577.0,1003.0,348,755,1,1290,319.9000000000001
13425,Fashionable Boots for Womens Boots For Women  (Black),4.3,Women,Flipkart,549,999,45.05,54.0,9.0,32.0,13.0,5.0,2,2,0,450,324.2000000000001
14723,Slippers,3.7,Men,Flipkart,229,499,54.11,336.0,48.0,160.0,46.0,49.0,30,51,0,270,327.9000000000001
10063,Slip On For Men  (Brown),4.0,Men,Flipkart,629,699,10.01,175.0,26.0,87.0,45.0,17.0,11,15,1,70,331.9000000000001
12372,Men Green Sports Sandal,4.6,Men,Flipkart,1539,2799,45.02,23.0,2.0,16.0,4.0,3.0,0,0,1,1260,336.5000000000001
19486,Mojaris For Men  (Blue),4.2,Men,Flipkart,474,999,52.55,50.0,5.0,33.0,5.0,6.0,2,4,0,525,340.7000000000001
3312,Women Black Flats Sandal,4.1,Women,Flipkart,749,999,25.03,375.0,50.0,177.0,107.0,53.0,16,22,1,250,344.8000000000001
4986,Girls Stylish Cut Work Design Sneakers For Women  (White),4.0,Women,Flipkart,349,499,30.06,1573.0,203.0,785.0,340.0,226.0,92,130,1,150,348.8000000000001
5576,Combo Pack Of 2 Pairs Of Women Slippers Slippers,3.6,Women,Flipkart,299,999,70.07,2079.0,272.0,836.0,396.0,314.0,194,339,1,700,352.40000000000015
180,Derby For Men  (Brown),3.9,Men,Flipkart,458,1624,79.6,134.0,20.0,6.0,49.0,20.0,5,16,1,1166,356.3000000000001
5097,Women Pink Bellies Sandal,4.1,Women,Flipkart,298,499,40.28,229.0,26.0,118.0,55.0,28.0,14,14,1,201,360.40000000000015
3610,Bellies For Women  (Tan),3.7,Women,Flipkart,499,999,50.05,175.0,33.0,82.0,26.0,24.0,16,27,1,500,364.10000000000014
7568,Court Vision LowShoe Casuals For Women  (White),4.3,Women,Flipkart,3863,4995,22.66,37.0,5.0,24.0,6.0,2.0,1,3,1,1132,368.40000000000015
9638,ZAPATOZ Women White Solid PU Medium-Top Sports Shoes,4.7,Women,Amazon,599,599,0.0,4.0,2.0,0.0,0.0,0.0,30,70,1,0,376.70000000000016
3704,Jutis For Women  (Gold),3.8,Women,Flipkart,279,1299,78.52,392.0,51.0,208.0,49.0,47.0,22,66,0,1020,380.50000000000017
16664,Women Blue Wedges Sandal,4.0,Women,Flipkart,131,399,67.17,375.0,56.0,196.0,69.0,43.0,26,38,0,268,384.50000000000017
9235,"807 Boot Shoes For , Womens wear Boots For Women  (Grey)",3.8,Women,Flipkart,629,999,37.04,4.0,1.0,2.0,1.0,0.0,0,1,1,370,388.3000000000002
5162,"SC0620G Canvas Shoes For Men  (Olive, Orange)",4.2,Men,Flipkart,989,1299,23.86,5228.0,807.0,3011.0,1188.0,512.0,180,337,1,310,392.50000000000017
18320,Women Black Wedges Sandal,3.9,Women,Flipkart,499,999,50.05,476.0,65.0,218.0,119.0,63.0,33,42,1,500,396.40000000000015
5390,Women Multicolor Sports Sandal,3.8,Women,Flipkart,249,499,50.1,4.0,1.0,1.0,2.0,0.0,1,0,0,250,400.20000000000016
7609,Women Grey Heels Sandal,4.3,Women,Flipkart,605,1299,53.43,415.0,61.0,253.0,89.0,48.0,10,15,0,694,404.50000000000017
17816,Loafers For Men  (Tan),3.7,Men,Flipkart,451,510,11.57,15280.0,2056.0,7208.0,2435.0,2149.0,1160,2328,1,59,408.20000000000016
9188,Boots For Women  (Grey),4.0,Women,Flipkart,399,1999,80.04,1689.0,332.0,894.0,341.0,198.0,84,172,0,1600,412.20000000000016
12331,Women Black Heels Sandal,4.2,Women,Flipkart,425,499,14.83,282.0,50.0,169.0,57.0,24.0,9,23,0,74,416.40000000000015
11142,Women Black Bellies Bellies For Women  (Black),3.9,Women,Flipkart,304,1199,74.65,111.0,20.0,60.0,17.0,12.0,6,16,0,895,420.3000000000001
10098,Slides,3.5,Men,Flipkart,238,999,76.18,63.0,7.0,34.0,1.0,5.0,10,13,0,761,423.8000000000001
18632,Boots For Women  (Black),4.3,Women,Flipkart,397,999,60.26,2347.0,390.0,1529.0,376.0,188.0,85,169,0,602,428.10000000000014
10045,Jalsa Nagra Jutti Mojaris For Men Mojaris For Men  (Black),4.0,Men,Flipkart,350,499,29.86,698.0,82.0,367.0,134.0,92.0,39,66,0,149,432.10000000000014
10957,Slip On Sneakers For Women  (Pink),4.0,Women,Flipkart,995,1990,50.0,23.0,5.0,11.0,6.0,3.0,0,3,1,995,436.10000000000014
5582,Mojaris For Men  (Black),3.7,Men,Flipkart,499,600,16.83,13.0,1.0,7.0,2.0,0.0,1,3,0,101,439.8000000000001
13874,Slides,4.0,Men,Flipkart,924,1799,48.64,118.0,9.0,61.0,22.0,17.0,8,10,1,875,443.8000000000001
1038,Espadrilles For Men  (White),2.3,Men,Flipkart,569,1599,64.42,3.0,0.0,1.0,0.0,0.0,0,2,1,1030,446.10000000000014
13909,Running Shoes For Women  (Purple),4.2,Women,Flipkart,3900,6495,39.95,13.0,1.0,7.0,4.0,1.0,0,1,1,2595,450.3000000000001
2157,JALSA Mojaris For Men  (Black),3.7,Men,Flipkart,499,1999,75.04,25.0,6.0,12.0,4.0,3.0,2,4,0,1500,454.0000000000001
5904,Combo Pack of Casual Shoes Loafers For Women  (Multicolor),3.8,Women,Flipkart,442,998,55.71,2687.0,405.0,1154.0,596.0,447.0,203,273,1,556,457.8000000000001
15464,Epic Toss V1 IDP Flip Flops,4.4,Men,Flipkart,489,699,30.04,248.0,23.0,154.0,53.0,29.0,5,7,1,210,462.2000000000001
3489,Casual Sneakers Shoes For Men Sneakers For Men  (Green),3.8,Men,Flipkart,599,999,40.04,311.0,47.0,170.0,30.0,40.0,24,47,1,400,466.0000000000001
353,Women Black Heels Sandal,4.1,Women,Flipkart,704,858,38.04,620.0,102.0,245.0,37.0,38.0,31,57,1,154,474.40000000000015
20302,X Xiota Women Laceup Casual Shoe,3.4,Women,Amazon,488,488,0.0,5.0,2.0,23.0,23.0,0.0,0,54,0,0,477.8000000000001
9390,Women Black Bellies Sandal,3.8,Women,Flipkart,279,499,44.09,309.0,55.0,126.0,84.0,37.0,18,42,0,220,481.60000000000014
4235,Jutis For Women (Pink) Casuals For Women  (Pink),4.0,Women,Flipkart,199,499,60.12,53.0,7.0,31.0,9.0,6.0,4,5,0,300,485.60000000000014
964,"Women Red, Black Sports Sandal",4.8,Women,Flipkart,551,1400,56.2,19.0,3.0,9.0,1.0,3.0,1,1,0,849,490.40000000000015
9457,Women Black Flats Sandal,4.1,Women,Flipkart,499,899,44.49,2132.0,284.0,1114.0,495.0,266.0,101,153,1,400,494.50000000000017
15101,Slides,3.8,Women,Flipkart,479,599,20.03,20.0,1.0,8.0,5.0,5.0,0,2,1,120,498.3000000000002
14137,Women Grey Wedges Sandal,4.2,Women,Flipkart,449,999,55.06,620.0,91.0,347.0,132.0,74.0,27,40,1,550,502.50000000000017
1852,Downshifter 10 Running Shoes For Men  (Blue),4.3,Men,Flipkart,2797,3995,29.99,977.0,144.0,608.0,216.0,59.0,29,65,1,1198,506.8000000000002
17065,Women Black Wedges Sandal,4.1,Women,Flipkart,453,999,54.65,181.0,27.0,101.0,40.0,14.0,11,15,1,546,510.9000000000002
11300,Running Shoes For Men  (White),4.2,Men,Flipkart,1349,2699,50.02,15844.0,2084.0,8679.0,4049.0,1497.0,538,1081,1,1350,515.1000000000003
17670,Women Casual & Running Shoes Combo Pack of 2 Casuals For Women  (Multicolor),4.0,Women,Flipkart,569,798,28.7,2185.0,346.0,1047.0,535.0,293.0,117,193,1,229,519.1000000000003
10829,Women Yellow Heels Sandal,4.0,Women,Flipkart,403,999,59.66,2797.0,388.0,1361.0,672.0,391.0,154,219,0,596,523.1000000000003
4059,"Walking Shoes,Gym Shoes,Knit Sports Shoes,Training Shoes,Sports Shoes, Running Shoes,Casual Shoes Running Shoes For Men  (Green, Grey)",4.1,Men,Flipkart,497,599,17.03,31709.0,4593.0,16870.0,7710.0,3679.0,1298,2152,1,102,527.2000000000003
12868,Jutis For Women  (Bronze),3.6,Women,Flipkart,168,499,66.33,41.0,3.0,20.0,5.0,3.0,7,6,0,331,535.0000000000003
12816,Girls Stylish Casual Sports Shoe Sneakers For Women Sneakers For Women  (Pink),4.3,Women,Flipkart,655,999,34.43,18.0,6.0,13.0,2.0,1.0,0,2,0,344,539.3000000000003
8009,Women Pink Heels Sandal,3.8,Women,Flipkart,399,599,33.39,8050.0,1191.0,3528.0,1847.0,1161.0,539,979,0,200,543.1000000000003
18376,Women Multicolor Wedges Sandal,4.0,Women,Flipkart,597,799,25.28,36.0,4.0,19.0,8.0,4.0,3,4,1,202,547.1000000000003
9467,Women Multicolor Sports Sandal,4.1,Women,Flipkart,437,625,30.08,114.0,10.0,62.0,26.0,10.0,4,12,0,188,551.2000000000003
13659,Slides,4.6,Women,Flipkart,569,999,43.04,145.0,20.0,107.0,25.0,6.0,1,5,0,430,555.8000000000003
13535,Running Shoes For Men  (Black),3.6,Men,Flipkart,399,999,60.06,1638.0,153.0,804.0,179.0,176.0,166,313,1,600,559.4000000000003
19619,Bellies For Women  (Pink),4.3,Women,Flipkart,332,999,66.77,81.0,22.0,47.0,18.0,6.0,4,4,1,667,563.7000000000003
9718,Flip Flops,4.8,Women,Flipkart,449,2397,81.27,12.0,1.0,10.0,1.0,1.0,0,0,1,1948,568.5000000000002
6921,Latest Collection For Women And Girls Bellies For Women  (Multicolor),3.4,Women,Flipkart,420,999,57.96,18.0,2.0,8.0,2.0,1.0,4,3,0,579,571.9000000000002
16318,Walking Shoes For Women  (White),4.4,Women,Flipkart,1259,4199,70.02,74.0,4.0,49.0,15.0,5.0,1,4,1,2940,576.3000000000002
16430,Unifactor M Running Shoes For Men  (White),4.2,Men,Flipkart,1814,3299,45.01,646.0,74.0,369.0,157.0,53.0,23,44,1,1485,580.5000000000002
2083,High Ankle Denim Boots For Womens And girls Boots For Women  (Blue),4.3,Women,Flipkart,499,999,50.05,2539.0,429.0,1619.0,470.0,205.0,84,161,1,500,584.8000000000002
1868,Stylish Boots For Women  (Grey),4.0,Women,Flipkart,499,999,50.05,54.0,8.0,31.0,9.0,4.0,4,7,1,500,588.8000000000002
4698,"LDS66 Walking Shoes For Women  (Green, Black)",4.3,Women,Flipkart,599,999,40.04,12.0,4.0,7.0,2.0,2.0,1,0,1,400,593.1000000000001
8129,ELISE Women's Sneakers,4.1,Women,Amazon,322,397,18.89,205.0,77.0,9.0,4.0,8.0,23,56,0,75,597.2000000000002
1823,Slippers,4.4,Women,Flipkart,599,1199,50.04,91.0,16.0,54.0,22.0,10.0,3,2,1,600,601.6000000000001
2868,Women Brown Wedges Sandal,4.0,Women,Flipkart,389,499,22.04,7414.0,1245.0,3753.0,1639.0,984.0,378,660,1,110,605.6000000000001
596,Ladies Multi Women Punjabi Jutti Casual Jutis For Women  (gold) Jutis For Women  (Gold),4.4,Women,Flipkart,1011,2092,50.03,8.0,2.0,5.0,2.0,3.0,7,2,0,1081,610.0000000000001
15055,Women Black Heels Sandal,3.6,Women,Flipkart,383,499,23.25,102.0,19.0,38.0,22.0,17.0,9,16,1,116,613.6000000000001
2844,Partywear white ethnic mojaris/formal shoes for men Mojaris For Men  (White),3.8,Men,Flipkart,699,999,30.03,46.0,4.0,22.0,7.0,8.0,3,6,0,300,617.4000000000001
18675,Loafers For Men  (Brown),3.9,Men,Flipkart,405,999,59.46,2432.0,329.0,1268.0,416.0,293.0,146,309,0,594,621.3000000000001
6296,Casuals For Men  (Black),4.1,Men,Flipkart,259,499,48.1,3594.0,500.0,1945.0,717.0,453.0,175,304,1,240,625.4000000000001
20667,Running Shoes For Women  (Pink),4.1,Women,Flipkart,571,999,42.84,760.0,119.0,401.0,187.0,87.0,38,46,1,428,629.5000000000001
17392,"New Tredy Stylish Girls Comfortable ,Lightweight, Fashionble ,Now Look ,Outdoor ,Ankle Length ,High heel, Walking, Running. Boot ,Shoe For Women /Girls/Ladies Boots For Women  (White)",4.2,Women,Flipkart,399,899,55.62,1526.0,262.0,933.0,263.0,142.0,66,122,0,500,633.7000000000002
5364,TREAD LITE LUX LP Running Shoes For Men  (Black),4.2,Men,Flipkart,1047,2299,54.46,1215.0,176.0,651.0,345.0,113.0,36,70,1,1252,637.9000000000002
5192,SK LIGHTER Men's Training Shoes,3.2,Men,Amazon,349,399,12.53,44.0,12.0,18.0,15.0,21.0,18,28,0,50,641.1000000000003
7377,Walking Shoes For Women  (White),4.1,Women,Flipkart,699,1699,58.86,4324.0,637.0,2393.0,893.0,489.0,219,332,1,1000,645.2000000000003
15103,Men Multicolor Sandal,4.1,Men,Flipkart,569,599,5.01,3142.0,482.0,1573.0,905.0,374.0,130,160,1,30,649.3000000000003
16701,Colourblocked Trending Multicolor Ultralight canvas Sport/ Training Lace-up Morning / Evening walk Dating Running Shoes For Men  (Multicolor),3.9,Men,Flipkart,426,1399,69.55,3569.0,611.0,1954.0,567.0,386.0,205,457,1,973,653.2000000000003
15107,Smart Buckle Boots For Women  (Black),4.3,Women,Flipkart,540,1299,58.43,553.0,74.0,338.0,117.0,48.0,11,39,0,759,657.5000000000002
149,"Latest Collection, Comfortable & Fashionable Bellies for Women's and Girl's Pack of 1 Bellies For Women  (Blue)",4.0,Women,Flipkart,329,400,50.1,403.0,58.0,163.0,86.0,47.0,19,40,0,71,661.5000000000002
15117,Women Off White Wedges Sandal,3.8,Women,Flipkart,437,999,56.26,306.0,2.0,150.0,60.0,5.0,1,0,0,562,665.3000000000002
6809,Mens Ethnic Golden Fabric Jutti Mojaris For Men  (Gold),3.4,Men,Flipkart,399,499,20.04,44.0,3.0,16.0,6.0,10.0,4,8,0,100,668.7000000000002
10023,Super 445 Fashion Sneakers For Men  (Navy),4.6,Men,Flipkart,369,499,26.05,15.0,1.0,10.0,4.0,1.0,0,0,1,130,673.3000000000002
19637,Women's Rajasthani Jutis For Women  (Multicolor),4.2,Women,Flipkart,220,499,55.91,26.0,2.0,17.0,3.0,2.0,1,3,0,279,677.5000000000002
6355,Flip Flops,4.1,Women,Flipkart,299,599,50.08,41.0,9.0,19.0,13.0,5.0,3,1,1,300,681.6000000000003
14442,Strider v1 Slip-On Running Shoes For Men  (Grey),4.4,Men,Flipkart,2699,4499,40.01,156.0,19.0,101.0,32.0,9.0,5,9,1,1800,686.0000000000002
20616,Tropical Run Lp Running Shoe For Women  (Blue),4.3,Women,Flipkart,1233,2999,58.89,353.0,48.0,209.0,95.0,26.0,11,13,1,1766,690.3000000000002
13567,Jutis For Men  (Brown),5.0,Men,Flipkart,449,749,40.05,3.0,1.0,3.0,0.0,0.0,0,0,0,300,695.3000000000002
16893,Traditional Leather Punjabi Mojaris / Juttis Mojaris For Men  (Black),4.8,Men,Flipkart,569,1499,62.04,19.0,1.0,16.0,2.0,1.0,0,0,0,930,700.1000000000001
17626,Slippers,4.0,Women,Flipkart,331,499,33.67,716.0,101.0,376.0,144.0,95.0,40,61,1,168,704.1000000000001
14481,EXPLORE Sneakers For Men  (Navy),4.1,Men,Flipkart,1689,1899,11.06,654.0,102.0,355.0,147.0,62.0,34,56,1,210,708.2000000000002
19646,"Men Black, Grey Casual Sandal",3.4,Men,Flipkart,284,999,71.57,7.0,3.0,1.0,3.0,2.0,0,1,0,715,711.6000000000001
